Conditioning,Model,Attempted,Samples,MAE (m/s),RMSE (m/s),Bias (m/s),Humberto (AL082025) MAE (m/s),Kiko (EP112025) MAE (m/s),Otis (EP182023) MAE (m/s)
With ERA5,U-Net raw field maximum,3268,3266,8.942486963923697,11.882300925210906,-6.457904692769041,7.837757104993659,10.530829481481614,6.907589932362779
With ERA5,U-Net + correction,3268,3266,7.47584179381162,10.301825840353093,-4.4303560797434445,5.613695711052266,9.011008489743576,6.67744449332499
With ERA5,Joint U-Net + MLP,3268,3266,8.028818296296953,11.145862306140277,-3.437194803806213,6.766449681049419,9.45318155973501,6.603593623432388
Without ERA5,U-Net raw field maximum,3268,3266,9.112925794712314,11.403512610867606,-4.96815891934382,11.271136232396444,8.586049119804755,7.1526888639287955
Without ERA5,U-Net + correction,3268,3266,7.345484717423054,9.452458157714297,-1.4827433943804595,8.33754597457119,7.160111973444436,6.313516617743637
Without ERA5,Joint U-Net + MLP,3268,3266,7.242899473358381,9.158827297839837,0.07094262056700514,7.63138079052929,6.962129446623391,7.31845701292039
