correction_ms,era5,ibtracs_target_ms,intensity_target_source,is_rapid_intensification,model_key,observation_timestamp,prediction_category,prediction_ms,raw_unet_anchor_ms,raw_unet_max_ms,raw_unet_ms,raw_unet_robust_peak_ms,ri_24h_change_ms,sample_id,sar_max_wind_ms,sar_robust_peak_target_ms,storm_id,target_category,target_ms,trained_target
-2.475584030151367,with_era5,24.937578201293945,ibtracs,False,unet_correction,2025-09-25 09:42:44+00:00,0,23.440031051635742,25.91561508178711,25.91561508178711,25.91561508178711,24.45707893371582,,AL082025_sar_geo_20250925094244_08e44ad7,27.859996795654297,21.703502655029297,AL082025,0,24.937578201293945,ibtracs
-2.7564845085144043,with_era5,55.86671447753906,ibtracs,True,unet_correction,2025-09-26 22:04:44+00:00,2,49.33121109008789,52.08769607543945,52.08769607543945,52.08769607543945,46.8324089050293,25.65894317626953,AL082025_sar_geo_20250926220444_2d00f032,55.41999816894531,48.242061614990234,AL082025,3,55.86671447753906,ibtracs
-2.472581386566162,with_era5,55.90815353393555,ibtracs,True,unet_correction,2025-09-26 22:06:11+00:00,2,48.98697280883789,51.45955276489258,51.45955276489258,51.45955276489258,46.399593353271484,25.692094802856445,AL082025_sar_geo_20250926220611_04532c06,51.36000061035156,46.63326644897461,AL082025,3,55.90815353393555,ibtracs
5.076411724090576,with_era5,66.18160247802734,ibtracs,True,unet_correction,2025-09-27 09:58:13+00:00,3,49.71632385253906,44.63991165161133,44.63991165161133,44.63991165161133,41.12562561035156,26.76637840270996,AL082025_sar_geo_20250927095813_d513fd6c,69.83999633789062,56.139591217041016,AL082025,4,66.18160247802734,ibtracs
4.906948566436768,with_era5,72.02216339111328,ibtracs,True,unet_correction,2025-09-27 22:14:16+00:00,4,63.35536193847656,58.44841384887695,58.44841384887695,58.44841384887695,50.30754470825195,15.88298225402832,AL082025_sar_geo_20250927221416_59358115,68.66000366210938,57.38515853881836,AL082025,5,72.02216339111328,ibtracs
6.123258113861084,with_era5,65.934814453125,ibtracs,False,unet_correction,2025-09-28 10:05:59+00:00,3,51.63046646118164,45.50720977783203,45.50720977783203,45.50720977783203,43.10850143432617,-0.29118484258651733,AL082025_sar_geo_20250928100559_707f4766,58.29999923706055,51.569278717041016,AL082025,4,65.934814453125,ibtracs
6.1041083335876465,with_era5,62.5663948059082,ibtracs,False,unet_correction,2025-09-28 22:22:50+00:00,3,56.67417526245117,50.570068359375,50.570068359375,50.570068359375,46.32086181640625,-9.455766677856445,AL082025_sar_geo_20250928222250_60332831,57.599998474121094,53.99726104736328,AL082025,4,62.5663948059082,ibtracs
6.130125045776367,with_era5,63.696075439453125,ibtracs,False,unet_correction,2025-09-29 10:13:23+00:00,3,51.56999969482422,45.43987274169922,45.43987274169922,45.43987274169922,43.66621780395508,-2.1329896450042725,AL082025_sar_geo_20250929101323_61e03351,56.5,49.547393798828125,AL082025,4,63.696075439453125,ibtracs
5.083179950714111,with_era5,53.46254348754883,ibtracs,False,unet_correction,2025-09-29 22:31:44+00:00,1,38.969425201416016,33.88624572753906,33.88624572753906,33.88624572753906,32.68051528930664,-9.027539253234863,AL082025_sar_geo_20250929223144_b6a1244f,58.15999984741211,50.252620697021484,AL082025,3,53.46254348754883,ibtracs
5.395811557769775,with_era5,53.445396423339844,ibtracs,False,unet_correction,2025-09-29 22:32:29+00:00,1,39.37859344482422,33.98278045654297,33.98278045654297,33.98278045654297,33.216487884521484,-9.038256645202637,AL082025_sar_geo_20250929223229_4e0b44ba,62.34000015258789,53.213584899902344,AL082025,3,53.445396423339844,ibtracs
-2.6092300415039062,with_era5,38.4094352722168,ibtracs,False,unet_correction,2025-09-30 10:36:05+00:00,1,34.592323303222656,37.20155334472656,37.20155334472656,37.20155334472656,35.71815490722656,-25.416391372680664,AL082025_sar_geo_20250930103605_996c3d15,39.959999084472656,38.323768615722656,AL082025,1,38.4094352722168,ibtracs
-2.516070604324341,with_era5,36.01108169555664,ibtracs,False,unet_correction,2025-09-30 22:41:16+00:00,1,36.90977096557617,39.42584228515625,39.42584228515625,39.42584228515625,36.91672897338867,-17.23349380493164,AL082025_sar_geo_20250930224116_f96a335d,40.86000061035156,37.576480865478516,AL082025,1,36.01108169555664,ibtracs
-2.29168701171875,with_era5,34.248538970947266,ibtracs,False,unet_correction,2025-10-01 10:25:34+00:00,1,35.62641906738281,37.91810607910156,37.91810607910156,37.91810607910156,36.21322250366211,-4.461467742919922,AL082025_sar_geo_20251001102534_7c316d67,38.15999984741211,36.33675765991211,AL082025,1,34.248538970947266,ibtracs
6.1322832107543945,with_era5,32.40449523925781,ibtracs,False,unet_correction,2023-02-08 22:12:23+00:00,2,49.07780456542969,42.94552230834961,42.94552230834961,42.94552230834961,41.4394416809082,-13.895465850830078,SH112023_sar_geo_20230208221223_c0b8bb16,35.70000076293945,34.01755142211914,SH112023,0,32.40449523925781,ibtracs
-2.5887162685394287,with_era5,26.137470245361328,ibtracs,False,unet_correction,2023-02-09 11:11:34+00:00,0,27.840431213378906,30.429147720336914,30.429147720336914,30.429147720336914,28.045574188232422,-18.00554084777832,SH112023_sar_geo_20230209111134_f30f8ca8,31.280000686645508,28.429794311523438,SH112023,0,26.137470245361328,ibtracs
3.351530075073242,with_era5,33.43886184692383,ibtracs,False,unet_correction,2023-02-09 22:20:32+00:00,1,41.558197021484375,38.2066650390625,38.2066650390625,38.2066650390625,35.49220657348633,1.1508302688598633,SH112023_sar_geo_20230209222032_250d3700,45.13999938964844,38.88908767700195,SH112023,1,33.43886184692383,ibtracs
3.615624189376831,with_era5,38.06199645996094,ibtracs,False,unet_correction,2023-02-10 22:28:48+00:00,1,42.45170593261719,38.836082458496094,38.836082458496094,38.836082458496094,37.80901336669922,4.623136520385742,SH112023_sar_geo_20230210222848_4f1367f1,42.81999969482422,39.14099884033203,SH112023,1,38.06199645996094,ibtracs
6.157754421234131,with_era5,55.674747467041016,ibtracs,True,unet_correction,2023-02-11 11:28:01+00:00,3,57.81270980834961,51.65495681762695,51.65495681762695,51.65495681762695,47.37117004394531,24.53388214111328,SH112023_sar_geo_20230211112801_66c3ce02,54.7599983215332,48.290409088134766,SH112023,3,55.674747467041016,ibtracs
5.995193004608154,with_era5,55.911964416503906,ibtracs,True,unet_correction,2023-02-11 11:36:19+00:00,4,60.59781265258789,54.60261917114258,54.60261917114258,54.60261917114258,49.55238723754883,24.842262268066406,SH112023_sar_geo_20230211113619_713ab9a6,58.060001373291016,47.824363708496094,SH112023,3,55.911964416503906,ibtracs
4.097006797790527,with_era5,49.24515151977539,ibtracs,False,unet_correction,2023-02-12 23:16:30+00:00,2,43.09497833251953,38.99797058105469,38.99797058105469,38.99797058105469,36.701786041259766,-7.965307712554932,SH112023_sar_geo_20230212231630_6bf369b8,53.880001068115234,48.894439697265625,SH112023,2,49.24515151977539,ibtracs
3.501467704772949,with_era5,41.45818328857422,ibtracs,False,unet_correction,2023-02-13 23:24:42+00:00,2,44.4390869140625,40.937618255615234,40.937618255615234,40.937618255615234,38.6408576965332,-7.716660022735596,SH112023_sar_geo_20230213232442_e7bd4405,42.099998474121094,39.77212142944336,SH112023,1,41.45818328857422,ibtracs
2.4340312480926514,with_era5,56.799476623535156,ibtracs,False,unet_correction,2023-02-14 12:24:34+00:00,1,41.8880729675293,39.45404052734375,39.45404052734375,39.45404052734375,38.096229553222656,10.63994026184082,SH112023_sar_geo_20230214122434_504d62a1,54.34000015258789,51.46897888183594,SH112023,3,56.799476623535156,ibtracs
6.1870574951171875,with_era5,63.91752243041992,ibtracs,True,unet_correction,2023-02-14 23:32:51+00:00,3,53.158302307128906,46.97124481201172,46.97124481201172,46.97124481201172,45.200042724609375,22.529216766357422,SH112023_sar_geo_20230214233251_cc5d83ed,60.20000076293945,54.030601501464844,SH112023,4,63.91752243041992,ibtracs
