storm_id,storm,conditioning,observation_timestamp,series_key,series,maximum_wind_ms,is_rapid_intensification,aggregation,smoothing_hours
EP112025,Kiko (2025),without_era5,2025-09-10T07:00:00+00:00,ibtracs_best_track,IBTrACS best track,17.517675606666668,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T08:00:00+00:00,ibtracs_best_track,IBTrACS best track,17.150562652222224,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T09:00:00+00:00,ibtracs_best_track,IBTrACS best track,16.726289253333334,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T10:00:00+00:00,ibtracs_best_track,IBTrACS best track,16.24485541,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T11:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.802862273333332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T12:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.532350469999999,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T13:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T14:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T15:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T16:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T17:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T18:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T19:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T20:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T21:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T22:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-09-10T23:00:00+00:00,ibtracs_best_track,IBTrACS best track,15.43332,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T00:00:00+00:00,era5_max_wind,ERA5 10 m maximum,9.294077505286964,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T01:00:00+00:00,era5_max_wind,ERA5 10 m maximum,9.294077505286964,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T02:00:00+00:00,era5_max_wind,ERA5 10 m maximum,9.021471971569431,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T03:00:00+00:00,era5_max_wind,ERA5 10 m maximum,8.748866437851897,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T04:00:00+00:00,era5_max_wind,ERA5 10 m maximum,8.476260904134362,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T05:00:00+00:00,era5_max_wind,ERA5 10 m maximum,8.476260904134362,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T06:00:00+00:00,era5_max_wind,ERA5 10 m maximum,8.476260904134362,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T07:00:00+00:00,era5_max_wind,ERA5 10 m maximum,8.476260904134362,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T08:00:00+00:00,era5_max_wind,ERA5 10 m maximum,9.31034788252799,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T09:00:00+00:00,era5_max_wind,ERA5 10 m maximum,10.144434860921619,False,hourly mean,3
EP112025,Kiko (2025),without_era5,2025-08-31T10:00:00+00:00,era5_max_wind,ERA5 10 m maximum,10.978521839315247,False,hourly mean,3
