model_key,model,conditioning,scope,samples,mae_ms,rmse_ms,bias_ms
ablation_max_wind_only,Joint ablation: max wind only,with ERA5,rapid_intensification_all_storms,466,9.840534651535387,13.291687346812783,-7.92118734390232
ablation_max_wind_only,Joint ablation: max wind only,with ERA5,AL082025_rapid_intensification,207,3.097918380041958,4.157871662575977,1.0964591288335959
ablation_max_wind_only,Joint ablation: max wind only,with ERA5,EP112025_rapid_intensification,126,18.040436385872482,18.379889316692868,-18.040436385872482
ablation_max_wind_only,Joint ablation: max wind only,with ERA5,EP182023_rapid_intensification,133,12.566353822006562,16.494194810175458,-12.36951396471506
ablation_max_wind_radii,Joint ablation: max wind + radii,with ERA5,all_three_storms,3266,7.058053649336472,10.550239617607165,-4.082230495543465
ablation_max_wind_radii,Joint ablation: max wind + radii,with ERA5,AL082025,1006,3.6694964561371446,4.51757779836885,-0.8346753418728966
ablation_max_wind_radii,Joint ablation: max wind + radii,with ERA5,EP112025,1576,9.193322149271753,12.658720887777228,-7.005508784043997
ablation_max_wind_radii,Joint ablation: max wind + radii,with ERA5,EP182023,684,7.121950404395712,11.499822752603837,-2.123098773198076
ablation_max_wind_radii,Joint ablation: max wind + radii,with ERA5,rapid_intensification_all_storms,466,13.889563508179613,18.43580726699309,-11.834445499430373
ablation_max_wind_radii,Joint ablation: max wind + radii,with ERA5,AL082025_rapid_intensification,207,5.075680958260117,5.54259546585308,-0.6050017233056414
ablation_max_wind_radii,Joint ablation: max wind + radii,with ERA5,EP112025_rapid_intensification,126,23.61049030389355,24.864400580851193,-23.61049030389355
ablation_max_wind_radii,Joint ablation: max wind + radii,with ERA5,EP182023_rapid_intensification,133,18.398111715498267,23.60808661775886,-18.155597501651886
